sales_id,retailer_id,retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method,gross_margin_rate,cogs,gross_profit
16,1185732,"Foot Locker",2020-01-03,Northeast,"New York","New York","Women's Street Footwear",40,1000,40000.00,14000.00,In-store,0.4900,20400.00,19600.00
17,1185732,"Foot Locker",2020-01-03,Northeast,"New York","New York","Women's Street Footwear",32,350,11200.00,414.00,Outlet,0.4900,5712.00,5488.00
18,1185732,"Foot Locker",2020-01-03,Northeast,"New York","New York","Women's Street Footwear",36,250,9000.00,414.00,Online,0.4900,4590.00,4410.00
19,1128299,"West Gear",2020-01-04,Northeast,Pennsylvania,Philadelphia,"Women's Street Footwear",45,450,20250.00,8100.00,Outlet,0.4900,10327.50,9922.50
20,1128299,"West Gear",2020-01-04,Northeast,Pennsylvania,Philadelphia,"Women's Street Footwear",41,117,4797.00,259.00,Online,0.4900,2446.47,2350.53
21,1128299,"West Gear",2020-01-04,Northeast,Pennsylvania,Philadelphia,"Women's Street Footwear",36,140,5040.00,237.00,Outlet,0.4900,2570.40,2469.60
22,1185732,"Foot Locker",2020-01-04,Northeast,"New York","New York","Women's Athletic Footwear",45,850,38250.00,13388.00,In-store,0.4900,19507.50,18742.50
23,1185732,"Foot Locker",2020-01-04,Northeast,"New York","New York","Women's Athletic Footwear",36,281,10116.00,374.00,Outlet,0.4900,5159.16,4956.84
24,1185732,"Foot Locker",2020-01-04,Northeast,"New York","New York","Women's Athletic Footwear",41,247,10127.00,466.00,Online,0.4900,5164.77,4962.23
25,1128299,"West Gear",2020-01-05,Northeast,Pennsylvania,Philadelphia,"Women's Athletic Footwear",45,300,13500.00,4725.00,Outlet,0.4900,6885.00,6615.00
26,1128299,"West Gear",2020-01-05,Northeast,Pennsylvania,Philadelphia,"Women's Athletic Footwear",34,90,3060.00,125.00,Outlet,0.4900,1560.60,1499.40
27,1128299,"West Gear",2020-01-05,Northeast,Pennsylvania,Philadelphia,"Women's Athletic Footwear",43,87,3741.00,187.00,Online,0.4900,1907.91,1833.09
28,1185732,"Foot Locker",2020-01-05,Northeast,"New York","New York","Men's Apparel",43,306,13158.00,487.00,Outlet,0.4900,6710.58,6447.42
29,1185732,"Foot Locker",2020-01-05,Northeast,"New York","New York","Men's Apparel",55,234,12870.00,515.00,Online,0.4900,6563.70,6306.30
30,1185732,"Foot Locker",2020-01-05,Northeast,"New York","New York","Men's Apparel",60,900,54000.00,16200.00,In-store,0.4900,27540.00,26460.00
31,1128299,"West Gear",2020-01-06,West,Nevada,"Las Vegas","Men's Apparel",47,70,3290.00,214.00,Online,0.4900,1677.90,1612.10
32,1128299,"West Gear",2020-01-06,West,Nevada,"Las Vegas","Men's Apparel",37,80,2960.00,169.00,Outlet,0.4900,1509.60,1450.40
33,1128299,"West Gear",2020-01-06,West,Nevada,"Las Vegas","Men's Apparel",50,250,12500.00,6875.00,Outlet,0.4900,6375.00,6125.00
34,1185732,"Foot Locker",2020-01-06,Northeast,"New York","New York","Women's Apparel",50,1000,50000.00,12500.00,In-store,0.4900,25500.00,24500.00
35,1185732,"Foot Locker",2020-01-06,Northeast,"New York","New York","Women's Apparel",38,330,12540.00,401.00,Outlet,0.4900,6395.40,6144.60
36,1185732,"Foot Locker",2020-01-06,Northeast,"New York","New York","Women's Apparel",46,260,11960.00,443.00,Online,0.4900,6099.60,5860.40
37,1128299,"West Gear",2020-01-07,West,Nevada,"Las Vegas","Women's Apparel",45,475,21375.00,4275.00,Outlet,0.4900,10901.25,10473.75
38,1128299,"West Gear",2020-01-07,West,Nevada,"Las Vegas","Women's Apparel",36,166,5976.00,143.00,Outlet,0.4900,3047.76,2928.24
39,1128299,"West Gear",2020-01-07,West,Nevada,"Las Vegas","Women's Apparel",41,128,5248.00,157.00,Online,0.4900,2676.48,2571.52
40,1185732,"Foot Locker",2020-01-07,Northeast,"New York","New York","Men's Street Footwear",33,388,12804.00,666.00,Outlet,0.4900,6530.04,6273.96
41,1185732,"Foot Locker",2020-01-07,Northeast,"New York","New York","Men's Street Footwear",46,313,14398.00,893.00,Online,0.4900,7342.98,7055.02
42,1185732,"Foot Locker",2020-01-07,Northeast,"New York","New York","Men's Street Footwear",50,1250,62500.00,31250.00,In-store,0.4900,31875.00,30625.00
43,1128299,"West Gear",2020-01-08,West,Nevada,"Las Vegas","Men's Street Footwear",27,173,4671.00,201.00,Outlet,0.4900,2382.21,2288.79
44,1128299,"West Gear",2020-01-08,West,Nevada,"Las Vegas","Men's Street Footwear",34,158,5372.00,269.00,Online,0.4900,2739.72,2632.28
45,1128299,"West Gear",2020-01-08,West,Nevada,"Las Vegas","Men's Street Footwear",35,525,18375.00,7350.00,Outlet,0.4900,9371.25,9003.75
46,1185732,"Foot Locker",2020-01-08,Northeast,"New York","New York","Men's Athletic Footwear",50,900,45000.00,13500.00,Outlet,0.4900,22950.00,22050.00
47,1185732,"Foot Locker",2020-01-08,Northeast,"New York","New York","Men's Athletic Footwear",46,261,12006.00,528.00,Online,0.4900,6123.06,5882.94
48,1185732,"Foot Locker",2020-01-08,Northeast,"New York","New York","Men's Athletic Footwear",39,315,12285.00,405.00,Outlet,0.4900,6265.35,6019.65
49,1128299,"West Gear",2020-01-09,West,Nevada,"Las Vegas","Men's Athletic Footwear",35,145,5075.00,157.00,Outlet,0.4900,2588.25,2486.75
50,1128299,"West Gear",2020-01-09,West,Nevada,"Las Vegas","Men's Athletic Footwear",43,128,5504.00,220.00,Online,0.4900,2807.04,2696.96
51,1128299,"West Gear",2020-01-09,West,Nevada,"Las Vegas","Men's Athletic Footwear",45,425,19125.00,4781.00,Outlet,0.4900,9753.75,9371.25
52,1128299,"West Gear",2020-01-10,West,Nevada,"Las Vegas","Women's Street Footwear",45,425,19125.00,7650.00,Outlet,0.4900,9753.75,9371.25
53,1128299,"West Gear",2020-01-10,West,Nevada,"Las Vegas","Women's Street Footwear",41,119,4879.00,259.00,Online,0.4900,2488.29,2390.71
54,1128299,"West Gear",2020-01-10,West,Nevada,"Las Vegas","Women's Street Footwear",31,140,4340.00,187.00,Outlet,0.4900,2213.40,2126.60
55,1128299,"West Gear",2020-01-11,West,Nevada,"Las Vegas","Women's Athletic Footwear",45,275,12375.00,4331.00,Outlet,0.4900,6311.25,6063.75
56,1128299,"West Gear",2020-01-11,West,Nevada,"Las Vegas","Women's Athletic Footwear",30,85,2550.00,105.00,Outlet,0.4900,1300.50,1249.50
57,1128299,"West Gear",2020-01-11,West,Nevada,"Las Vegas","Women's Athletic Footwear",44,74,3256.00,150.00,Online,0.4900,1660.56,1595.44
58,1128299,"West Gear",2020-01-12,West,Nevada,"Las Vegas","Men's Apparel",37,70,2590.00,158.00,Outlet,0.4900,1320.90,1269.10
59,1128299,"West Gear",2020-01-12,West,Nevada,"Las Vegas","Men's Apparel",46,52,2392.00,167.00,Online,0.4900,1219.92,1172.08
60,1128299,"West Gear",2020-01-12,West,Nevada,"Las Vegas","Men's Apparel",50,200,10000.00,5500.00,Outlet,0.4900,5100.00,4900.00
61,1128299,"West Gear",2020-01-13,West,Nevada,"Las Vegas","Women's Apparel",45,400,18000.00,3600.00,Outlet,0.4900,9180.00,8820.00
62,1128299,"West Gear",2020-01-13,West,Nevada,"Las Vegas","Women's Apparel",31,140,4340.00,100.00,Outlet,0.4900,2213.40,2126.60
63,1128299,"West Gear",2020-01-13,West,Nevada,"Las Vegas","Women's Apparel",41,116,4756.00,162.00,Online,0.4900,2425.56,2330.44
64,1128299,"West Gear",2020-01-14,West,Nevada,"Las Vegas","Men's Street Footwear",31,182,5642.00,254.00,Outlet,0.4900,2877.42,2764.58
65,1128299,"West Gear",2020-01-14,West,Nevada,"Las Vegas","Men's Street Footwear",45,550,24750.00,9900.00,Outlet,0.4900,12622.50,12127.50
66,1128299,"West Gear",2020-01-14,West,Nevada,"Las Vegas","Men's Street Footwear",43,160,6880.00,378.00,Online,0.4900,3508.80,3371.20
67,1128299,"West Gear",2020-01-15,West,Nevada,"Las Vegas","Men's Athletic Footwear",55,400,22000.00,5500.00,Outlet,0.4900,11220.00,10780.00
68,1128299,"West Gear",2020-01-15,West,Nevada,"Las Vegas","Men's Athletic Footwear",50,120,6000.00,240.00,Online,0.4900,3060.00,2940.00
69,1128299,"West Gear",2020-01-15,West,Nevada,"Las Vegas","Men's Athletic Footwear",42,124,5208.00,167.00,Outlet,0.4900,2656.08,2551.92
70,1128299,"West Gear",2020-01-16,West,Nevada,"Las Vegas","Women's Street Footwear",52,104,5408.00,287.00,Online,0.4900,2758.08,2649.92
71,1128299,"West Gear",2020-01-16,West,Nevada,"Las Vegas","Women's Street Footwear",43,128,5504.00,259.00,Outlet,0.4900,2807.04,2696.96
72,1128299,"West Gear",2020-01-16,West,Nevada,"Las Vegas","Women's Street Footwear",55,400,22000.00,8800.00,Outlet,0.4900,11220.00,10780.00
73,1128299,"West Gear",2020-01-17,West,Nevada,"Las Vegas","Women's Athletic Footwear",55,300,16500.00,5775.00,Outlet,0.4900,8415.00,8085.00
74,1128299,"West Gear",2020-01-17,West,Nevada,"Las Vegas","Women's Athletic Footwear",41,93,3813.00,156.00,Outlet,0.4900,1944.63,1868.37
75,1128299,"West Gear",2020-01-17,West,Nevada,"Las Vegas","Women's Athletic Footwear",50,84,4200.00,197.00,Online,0.4900,2142.00,2058.00
76,1128299,"West Gear",2020-01-18,West,Nevada,"Las Vegas","Men's Apparel",60,175,10500.00,5775.00,Outlet,0.4900,5355.00,5145.00
77,1128299,"West Gear",2020-01-18,West,Nevada,"Las Vegas","Men's Apparel",55,47,2585.00,181.00,Online,0.4900,1318.35,1266.65
78,1128299,"West Gear",2020-01-18,West,Nevada,"Las Vegas","Men's Apparel",44,60,2640.00,164.00,Outlet,0.4900,1346.40,1293.60
79,1128299,"West Gear",2020-01-19,West,Nevada,"Las Vegas","Women's Apparel",39,124,4836.00,126.00,Outlet,0.4900,2466.36,2369.64
80,1128299,"West Gear",2020-01-19,West,Nevada,"Las Vegas","Women's Apparel",54,94,5076.00,173.00,Online,0.4900,2588.76,2487.24
81,1128299,"West Gear",2020-01-19,West,Nevada,"Las Vegas","Women's Apparel",55,375,20625.00,4125.00,Outlet,0.4900,10518.75,10106.25
82,1128299,"West Gear",2020-01-20,West,Nevada,"Las Vegas","Men's Street Footwear",58,143,8294.00,423.00,Online,0.4900,4229.94,4064.06
83,1128299,"West Gear",2020-01-20,West,Nevada,"Las Vegas","Men's Street Footwear",41,171,7011.00,294.00,Outlet,0.4900,3575.61,3435.39
84,1128299,"West Gear",2020-01-20,West,Nevada,"Las Vegas","Men's Street Footwear",60,550,33000.00,13200.00,Outlet,0.4900,16830.00,16170.00
85,1128299,"West Gear",2020-01-21,West,Nevada,"Las Vegas","Men's Athletic Footwear",65,350,22750.00,5688.00,Outlet,0.4900,11602.50,11147.50
86,1128299,"West Gear",2020-01-21,West,Nevada,"Las Vegas","Men's Athletic Footwear",46,116,5336.00,155.00,Outlet,0.4900,2721.36,2614.64
87,1128299,"West Gear",2020-01-21,West,Nevada,"Las Vegas","Men's Athletic Footwear",62,102,6324.00,240.00,Online,0.4900,3225.24,3098.76
88,1185732,"Foot Locker",2020-01-21,Northeast,"New York","New York","Women's Street Footwear",40,950,38000.00,13300.00,Outlet,0.4900,19380.00,18620.00
89,1185732,"Foot Locker",2020-01-21,Northeast,"New York","New York","Women's Street Footwear",32,323,10336.00,393.00,Outlet,0.4900,5271.36,5064.64
90,1185732,"Foot Locker",2020-01-21,Northeast,"New York","New York","Women's Street Footwear",36,276,9936.00,467.00,Online,0.4900,5067.36,4868.64
91,1128299,"West Gear",2020-01-22,West,Nevada,"Las Vegas","Women's Street Footwear",47,120,5640.00,254.00,Outlet,0.4900,2876.40,2763.60
92,1128299,"West Gear",2020-01-22,West,Nevada,"Las Vegas","Women's Street Footwear",61,120,7320.00,388.00,Online,0.4900,3733.20,3586.80
93,1128299,"West Gear",2020-01-22,West,Nevada,"Las Vegas","Women's Street Footwear",65,400,26000.00,10400.00,Outlet,0.4900,13260.00,12740.00
94,1185732,"Foot Locker",2020-01-22,Northeast,"New York","New York","Women's Athletic Footwear",32,248,7936.00,302.00,Outlet,0.4900,4047.36,3888.64
95,1185732,"Foot Locker",2020-01-22,Northeast,"New York","New York","Women's Athletic Footwear",44,206,9064.00,444.00,Online,0.4900,4622.64,4441.36
96,1185732,"Foot Locker",2020-01-22,Northeast,"New York","New York","Women's Athletic Footwear",45,825,37125.00,12994.00,Outlet,0.4900,18933.75,18191.25
97,1128299,"West Gear",2020-01-23,West,Nevada,"Las Vegas","Women's Athletic Footwear",60,300,18000.00,6300.00,Outlet,0.4900,9180.00,8820.00
98,1128299,"West Gear",2020-01-23,West,Nevada,"Las Vegas","Women's Athletic Footwear",59,75,4425.00,204.00,Online,0.4900,2256.75,2168.25
99,1128299,"West Gear",2020-01-23,West,Nevada,"Las Vegas","Women's Athletic Footwear",40,90,3600.00,148.00,Outlet,0.4900,1836.00,1764.00
100,1185732,"Foot Locker",2020-01-23,Northeast,"New York","New York","Men's Apparel",43,306,13158.00,461.00,Outlet,0.4900,6710.58,6447.42
101,1185732,"Foot Locker",2020-01-23,Northeast,"New York","New York","Men's Apparel",58,243,14094.00,606.00,Online,0.4900,7187.94,6906.06
102,1185732,"Foot Locker",2020-01-23,Northeast,"New York","New York","Men's Apparel",60,900,54000.00,16200.00,Outlet,0.4900,27540.00,26460.00
103,1128299,"West Gear",2020-01-24,West,Nevada,"Las Vegas","Men's Apparel",47,62,2914.00,178.00,Outlet,0.4900,1486.14,1427.86
104,1128299,"West Gear",2020-01-24,West,Nevada,"Las Vegas","Men's Apparel",63,52,3276.00,216.00,Online,0.4900,1670.76,1605.24
105,1128299,"West Gear",2020-01-24,West,Nevada,"Las Vegas","Men's Apparel",65,200,13000.00,7150.00,Outlet,0.4900,6630.00,6370.00
106,1185732,"Foot Locker",2020-01-24,Northeast,"New York","New York","Women's Apparel",50,1000,50000.00,12500.00,Outlet,0.4900,25500.00,24500.00
107,1185732,"Foot Locker",2020-01-24,Northeast,"New York","New York","Women's Apparel",36,350,12600.00,365.00,Outlet,0.4900,6426.00,6174.00
108,1185732,"Foot Locker",2020-01-24,Northeast,"New York","New York","Women's Apparel",48,290,13920.00,529.00,Online,0.4900,7099.20,6820.80
109,1128299,"West Gear",2020-01-25,West,Nevada,"Las Vegas","Women's Apparel",80,350,28000.00,5600.00,Outlet,0.4900,14280.00,13720.00
110,1128299,"West Gear",2020-01-25,West,Nevada,"Las Vegas","Women's Apparel",54,123,6642.00,179.00,Outlet,0.4900,3387.42,3254.58
111,1128299,"West Gear",2020-01-25,West,Nevada,"Las Vegas","Women's Apparel",78,95,7410.00,252.00,Online,0.4900,3779.10,3630.90
112,1185732,"Foot Locker",2020-01-25,Northeast,"New York","New York","Men's Street Footwear",40,390,15600.00,811.00,Outlet,0.4900,7956.00,7644.00
113,1185732,"Foot Locker",2020-01-25,Northeast,"New York","New York","Men's Street Footwear",46,354,16284.00,1026.00,Online,0.4900,8304.84,7979.16
114,1185732,"Foot Locker",2020-01-25,Northeast,"New York","New York","Men's Street Footwear",50,1220,61000.00,30500.00,Outlet,0.4900,31110.00,29890.00
115,1128299,"West Gear",2020-01-26,West,Nevada,"Las Vegas","Men's Street Footwear",60,550,33000.00,14850.00,Outlet,0.4900,16830.00,16170.00
116,1128299,"West Gear",2020-01-26,West,Nevada,"Las Vegas","Men's Street Footwear",58,149,8642.00,501.00,Online,0.4900,4407.42,4234.58
117,1128299,"West Gear",2020-01-26,West,Nevada,"Las Vegas","Men's Street Footwear",43,171,7353.00,353.00,Outlet,0.4900,3750.03,3602.97
118,1185732,"Foot Locker",2020-01-26,Northeast,"New York","New York","Men's Athletic Footwear",50,925,46250.00,13875.00,Outlet,0.4900,23587.50,22662.50
119,1185732,"Foot Locker",2020-01-26,Northeast,"New York","New York","Men's Athletic Footwear",48,259,12432.00,535.00,Online,0.4900,6340.32,6091.68
120,1185732,"Foot Locker",2020-01-26,Northeast,"New York","New York","Men's Athletic Footwear",35,315,11025.00,397.00,Outlet,0.4900,5622.75,5402.25
121,1128299,"West Gear",2020-01-27,West,Nevada,"Las Vegas","Men's Athletic Footwear",65,400,26000.00,7800.00,Outlet,0.4900,13260.00,12740.00
122,1128299,"West Gear",2020-01-27,West,Nevada,"Las Vegas","Men's Athletic Footwear",60,104,6240.00,268.00,Online,0.4900,3182.40,3057.60
123,1128299,"West Gear",2020-01-27,West,Nevada,"Las Vegas","Men's Athletic Footwear",43,120,5160.00,181.00,Outlet,0.4900,2631.60,2528.40
124,1185732,"Foot Locker",2020-01-27,Northeast,"New York","New York","Women's Street Footwear",39,247,9633.00,472.00,Online,0.4900,4912.83,4720.17
125,1185732,"Foot Locker",2020-01-27,Northeast,"New York","New York","Women's Street Footwear",27,314,8478.00,348.00,Outlet,0.4900,4323.78,4154.22
126,1185732,"Foot Locker",2020-01-27,Northeast,"New York","New York","Women's Street Footwear",40,950,38000.00,13300.00,Outlet,0.4900,19380.00,18620.00
127,1128299,"West Gear",2020-01-28,West,Nevada,"Las Vegas","Women's Street Footwear",63,116,7308.00,417.00,Online,0.4900,3727.08,3580.92
128,1128299,"West Gear",2020-01-28,West,Nevada,"Las Vegas","Women's Street Footwear",49,132,6468.00,304.00,Outlet,0.4900,3298.68,3169.32
129,1128299,"West Gear",2020-01-28,West,Nevada,"Las Vegas","Women's Street Footwear",65,400,26000.00,11700.00,Outlet,0.4900,13260.00,12740.00
130,1185732,"Foot Locker",2020-01-28,Northeast,"New York","New York","Women's Athletic Footwear",45,800,36000.00,12600.00,Outlet,0.4900,18360.00,17640.00
131,1185732,"Foot Locker",2020-01-28,Northeast,"New York","New York","Women's Athletic Footwear",43,216,9288.00,464.00,Online,0.4900,4736.88,4551.12
132,1185732,"Foot Locker",2020-01-28,Northeast,"New York","New York","Women's Athletic Footwear",31,240,7440.00,298.00,Outlet,0.4900,3794.40,3645.60
133,1128299,"West Gear",2020-01-29,West,Nevada,"Las Vegas","Women's Athletic Footwear",60,300,18000.00,7200.00,Outlet,0.4900,9180.00,8820.00
134,1128299,"West Gear",2020-01-29,West,Nevada,"Las Vegas","Women's Athletic Footwear",57,90,5130.00,257.00,Online,0.4900,2616.30,2513.70
135,1128299,"West Gear",2020-01-29,West,Nevada,"Las Vegas","Women's Athletic Footwear",47,105,4935.00,227.00,Outlet,0.4900,2516.85,2418.15
136,1185732,"Foot Locker",2020-01-29,Northeast,"New York","New York","Men's Apparel",59,230,13570.00,570.00,Online,0.4900,6920.70,6649.30
137,1185732,"Foot Locker",2020-01-29,Northeast,"New York","New York","Men's Apparel",43,289,12427.00,398.00,Outlet,0.4900,6337.77,6089.23
138,1185732,"Foot Locker",2020-01-29,Northeast,"New York","New York","Men's Apparel",60,850,51000.00,15300.00,Outlet,0.4900,26010.00,24990.00
139,1128299,"West Gear",2020-01-30,West,Nevada,"Las Vegas","Men's Apparel",43,66,2838.00,187.00,Outlet,0.4900,1447.38,1390.62
140,1128299,"West Gear",2020-01-30,West,Nevada,"Las Vegas","Men's Apparel",60,60,3600.00,252.00,Online,0.4900,1836.00,1764.00
141,1128299,"West Gear",2020-01-30,West,Nevada,"Las Vegas","Men's Apparel",65,200,13000.00,7800.00,Outlet,0.4900,6630.00,6370.00
142,1185732,"Foot Locker",2020-01-30,Northeast,"New York","New York","Women's Apparel",50,950,47500.00,11875.00,Outlet,0.4900,24225.00,23275.00
143,1185732,"Foot Locker",2020-01-30,Northeast,"New York","New York","Women's Apparel",45,238,10710.00,375.00,Online,0.4900,5462.10,5247.90
144,1185732,"Foot Locker",2020-01-30,Northeast,"New York","New York","Women's Apparel",36,323,11628.00,314.00,Outlet,0.4900,5930.28,5697.72
145,1128299,"West Gear",2020-01-31,West,Nevada,"Las Vegas","Women's Apparel",80,450,36000.00,9000.00,Outlet,0.4900,18360.00,17640.00
146,1128299,"West Gear",2020-01-31,West,Nevada,"Las Vegas","Women's Apparel",54,140,7560.00,242.00,Outlet,0.4900,3855.60,3704.40
147,1128299,"West Gear",2020-01-31,West,Nevada,"Las Vegas","Women's Apparel",78,131,10218.00,358.00,Online,0.4900,5211.18,5006.82
148,1185732,"Foot Locker",2020-01-31,Northeast,"New York","New York","Men's Street Footwear",50,1200,60000.00,30000.00,Outlet,0.4900,30600.00,29400.00
149,1185732,"Foot Locker",2020-01-31,Northeast,"New York","New York","Men's Street Footwear",45,300,13500.00,837.00,Online,0.4900,6885.00,6615.00
150,1185732,"Foot Locker",2020-01-31,Northeast,"New York","New York","Men's Street Footwear",33,372,12276.00,663.00,Outlet,0.4900,6260.76,6015.24
151,1128299,"West Gear",2020-02-01,West,Nevada,"Las Vegas","Men's Street Footwear",56,189,10584.00,603.00,Online,0.4900,5397.84,5186.16
152,1128299,"West Gear",2020-02-01,West,Nevada,"Las Vegas","Men's Street Footwear",47,245,11515.00,576.00,Outlet,0.4900,5872.65,5642.35
153,1128299,"West Gear",2020-02-01,West,Nevada,"Las Vegas","Men's Street Footwear",60,700,42000.00,18900.00,Outlet,0.4900,21420.00,20580.00
154,1185732,"Foot Locker",2020-02-01,Northeast,"New York","New York","Men's Athletic Footwear",35,315,11025.00,364.00,Outlet,0.4900,5622.75,5402.25
155,1185732,"Foot Locker",2020-02-01,Northeast,"New York","New York","Men's Athletic Footwear",47,234,10998.00,451.00,Online,0.4900,5608.98,5389.02
156,1185732,"Foot Locker",2020-02-01,Northeast,"New York","New York","Men's Athletic Footwear",50,900,45000.00,13500.00,Outlet,0.4900,22950.00,22050.00
157,1128299,"West Gear",2020-02-02,West,Nevada,"Las Vegas","Men's Athletic Footwear",62,165,10230.00,419.00,Online,0.4900,5217.30,5012.70
158,1128299,"West Gear",2020-02-02,West,Nevada,"Las Vegas","Men's Athletic Footwear",51,182,9282.00,334.00,Outlet,0.4900,4733.82,4548.18
159,1128299,"West Gear",2020-02-02,West,Nevada,"Las Vegas","Men's Athletic Footwear",65,550,35750.00,10725.00,Outlet,0.4900,18232.50,17517.50
160,1185732,"Foot Locker",2020-02-02,Northeast,"New York","New York","Women's Street Footwear",40,900,36000.00,12600.00,Outlet,0.4900,18360.00,17640.00
161,1185732,"Foot Locker",2020-02-02,Northeast,"New York","New York","Women's Street Footwear",28,315,8820.00,335.00,Outlet,0.4900,4498.20,4321.80
162,1185732,"Foot Locker",2020-02-02,Northeast,"New York","New York","Women's Street Footwear",39,252,9828.00,491.00,Online,0.4900,5012.28,4815.72
163,1128299,"West Gear",2020-02-03,West,Nevada,"Las Vegas","Women's Street Footwear",46,176,8096.00,389.00,Outlet,0.4900,4128.96,3967.04
164,1128299,"West Gear",2020-02-03,West,Nevada,"Las Vegas","Women's Street Footwear",65,550,35750.00,16088.00,Outlet,0.4900,18232.50,17517.50
165,1128299,"West Gear",2020-02-03,West,Nevada,"Las Vegas","Women's Street Footwear",62,165,10230.00,604.00,Online,0.4900,5217.30,5012.70
166,1185732,"Foot Locker",2020-02-03,Northeast,"New York","New York","Women's Athletic Footwear",31,289,8959.00,331.00,Outlet,0.4900,4569.09,4389.91
167,1185732,"Foot Locker",2020-02-03,Northeast,"New York","New York","Women's Athletic Footwear",41,239,9799.00,480.00,Online,0.4900,4997.49,4801.51
168,1185732,"Foot Locker",2020-02-03,Northeast,"New York","New York","Women's Athletic Footwear",45,825,37125.00,12994.00,Outlet,0.4900,18933.75,18191.25
169,1128299,"West Gear",2020-02-04,West,Nevada,"Las Vegas","Women's Athletic Footwear",47,145,6815.00,307.00,Outlet,0.4900,3475.65,3339.35
170,1128299,"West Gear",2020-02-04,West,Nevada,"Las Vegas","Women's Athletic Footwear",58,111,6438.00,328.00,Online,0.4900,3283.38,3154.62
171,1128299,"West Gear",2020-02-04,West,Nevada,"Las Vegas","Women's Athletic Footwear",60,425,25500.00,10200.00,Outlet,0.4900,13005.00,12495.00
172,1185732,"Foot Locker",2020-02-04,Northeast,"New York","New York","Men's Apparel",60,825,49500.00,14850.00,Outlet,0.4900,25245.00,24255.00
173,1185732,"Foot Locker",2020-02-04,Northeast,"New York","New York","Men's Apparel",44,281,12364.00,445.00,Outlet,0.4900,6305.64,6058.36
174,1185732,"Foot Locker",2020-02-04,Northeast,"New York","New York","Men's Apparel",56,215,12040.00,506.00,Online,0.4900,6140.40,5899.60
175,1128299,"West Gear",2020-02-05,West,Nevada,"Las Vegas","Men's Apparel",65,300,19500.00,11700.00,Outlet,0.4900,9945.00,9555.00
176,1128299,"West Gear",2020-02-05,West,Nevada,"Las Vegas","Men's Apparel",47,105,4935.00,321.00,Outlet,0.4900,2516.85,2418.15
177,1128299,"West Gear",2020-02-05,West,Nevada,"Las Vegas","Men's Apparel",59,81,4779.00,354.00,Online,0.4900,2437.29,2341.71
178,1185732,"Foot Locker",2020-02-05,Northeast,"New York","New York","Women's Apparel",49,238,11662.00,431.00,Online,0.4900,5947.62,5714.38
179,1185732,"Foot Locker",2020-02-05,Northeast,"New York","New York","Women's Apparel",39,333,12987.00,351.00,Outlet,0.4900,6623.37,6363.63
180,1185732,"Foot Locker",2020-02-05,Northeast,"New York","New York","Women's Apparel",50,950,47500.00,11875.00,Outlet,0.4900,24225.00,23275.00
